172.232.252.35:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.252.108:587,Jakarta, undefined none (none)
172.232.239.235:587,Jakarta, undefined none (none)
172.232.234.10:587,Jakarta, undefined none (none)
172.232.249.190:587,Jakarta, undefined none (none)
103.133.223.50:2096,Jakarta, 🇮🇩 Pt Cloud Teknologi Nusantara (ID)
103.133.223.51:2096,Jakarta, 🇮🇩 Pt Cloud Teknologi Nusantara (ID)
172.232.234.189:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
43.133.145.156:53136,Jakarta, 🇮🇩 Shenzhen Tencent Computer Systems Company Limited (ID)
172.232.252.106:587,Jakarta, undefined none (none)
172.232.252.119:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.252.101:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
165.154.48.233:587,Jakarta, 🇮🇩 UCLOUD INFORMATION TECHNOLOGY HK LIMITED (ID)
172.232.239.219:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.239.56:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
8.215.23.109:587,Jakarta, 🇮🇩 Alibaba us Technology Co. Ltd. (ID)
172.232.239.24:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
8.215.23.33:587,Jakarta, 🇮🇩 Alibaba us Technology Co. Ltd. (ID)
172.232.238.169:443,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.239.10:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.234.119:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.234.33:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
103.133.223.52:2096,Jakarta, 🇮🇩 Pt Cloud Teknologi Nusantara (ID)
172.232.238.103:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.239.151:587,Jakarta, 🇮🇩 Akamai Technologies Inc. (ID)
172.232.238.169:587,Jakarta, undefined none (none)
62.72.46.14:8443, 5294 ms, Singapore, 🇸🇬 Contabo Asia Private Limited (SG)
161.117.249.114:2025, 4850 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
89.34.227.98:8080, 5139 ms, Singapore, 🇸🇬 Bytevirt LLC (SG)
47.245.113.31:40159, 5275 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
47.245.113.31:29546, 5170 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
3.1.94.232:443, 5222 ms, Singapore, 🇸🇬 Amazon.com Inc. (SG)
167.71.194.185:8443, 5569 ms, Singapore, 🇸🇬 Digitalocean LLC (SG)
129.150.58.86:57621, 5175 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
213.35.108.135:12596, 5174 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
8.222.220.81:25435, 5413 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
8.222.143.82:24245, 5238 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
47.245.113.31:40420, 5133 ms, Singapore, undefined none (none)
8.219.50.5:29220, 5089 ms, Singapore, undefined none (none)
47.236.7.98:587, 5038 ms, Singapore, 🇸🇬 Cloudflare Inc. (SG)
194.127.193.240:50791, 6207 ms, Singapore, 🇸🇬 LEASEWEB SINGAPORE PTE. LTD. (SG)
8.219.1.169:443, none, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
194.36.178.132:443, 4115 ms, Singapore, 🇸🇬 FIRST SERVER LIMITED (SG)
143.198.213.197:8443, 4138 ms, Singapore, 🇸🇬 Digitalocean LLC (SG)
5.223.41.42:443, 4223 ms, Singapore, 🇸🇬 Hetzner Online GmbH (SG)
47.236.119.25:55567, 4300 ms, Singapore, undefined none (none)
43.134.239.19:443, 4293 ms, Singapore, undefined none (none)
47.74.254.191:8900, 4318 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
194.36.179.237:443, 4273 ms, Singapore, 🇸🇬 FIRST SERVER LIMITED (SG)
168.138.183.48:9090, 4598 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
15.235.197.205:587, 4215 ms, Singapore, 🇸🇬 OVH SAS (SG)
139.180.131.125:10005, 4686 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
143.198.213.197:443, 4448 ms, Singapore, 🇸🇬 Digitalocean LLC (SG)
8.222.243.73:26385, 4471 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
207.148.68.228:80, 4717 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
129.150.36.188:53435, 4822 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
138.2.89.238:43254, 4572 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
43.156.16.213:31528, 4797 ms, Singapore, 🇸🇬 Shenzhen Tencent Computer Systems Company Limited (SG)
185.114.78.230:443, 6379 ms, Singapore, 🇺🇸 Aryaka Networks Inc. (US)
51.79.254.182:443, none, Singapore, undefined none (none)
168.138.178.6:19990, 3971 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
43.156.115.101:18080, 4033 ms, Singapore, 🇸🇬 Shenzhen Tencent Computer Systems Company Limited (SG)
146.235.18.248:45137, 4325 ms, Kampong Loyang, undefined none (none)
8.219.59.208:11178, 4147 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
15.235.162.49:443, 4785 ms, Singapore, 🇸🇬 OVH SAS (SG)
209.97.172.173:443, none, Singapore, 🇸🇬 Digitalocean LLC (SG)
168.138.160.54:19081, 5083 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
47.236.173.166:587, 5261 ms, Singapore, undefined none (none)
109.176.19.89:10017, 5166 ms, Singapore, 🇸🇬 Bytevirt LLC (SG)
143.198.85.62:41536, 5295 ms, Singapore, 🇸🇬 Digitalocean LLC (SG)
213.35.107.73:443, 5229 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
143.198.85.62:49270, 5149 ms, Singapore, 🇸🇬 Digitalocean LLC (SG)
143.198.85.62:18163, 5146 ms, Singapore, 🇸🇬 Digitalocean LLC (SG)
109.176.19.89:10000, 5616 ms, Singapore, 🇸🇬 Bytevirt LLC (SG)
193.239.166.244:443, 5310 ms, Singapore, undefined none (none)
45.77.36.40:443, 5784 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
138.2.77.179:30018, 5596 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
45.76.183.217:49292, 5554 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
8.219.197.113:45714, 5824 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
168.138.170.211:53702, 5873 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
158.178.241.138:45001, 5704 ms, Kampong Loyang, undefined none (none)
109.176.19.89:10004, 6001 ms, Singapore, 🇸🇬 Bytevirt LLC (SG)
109.176.19.89:10016, 5566 ms, Singapore, 🇸🇬 Bytevirt LLC (SG)
47.236.25.107:27903, 5283 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
38.181.70.7:16240, 5846 ms, Singapore, 🇸🇬 Eons Data Communications Limited (SG)
51.79.158.126:443, 5560 ms, Singapore, 🇸🇬 OVH SAS (SG)
143.42.68.97:17055, 5864 ms, Singapore, 🇸🇬 Akamai Technologies Inc. (SG)
168.138.178.6:19990, 5774 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
45.32.100.46:13802, 6091 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
47.236.246.163:14108, 5583 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
15.235.162.49:443, 6774 ms, Singapore, 🇸🇬 OVH SAS (SG)
138.2.95.61:1111, 6813 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
152.42.172.170:8443, 6654 ms, Singapore, 🇸🇬 Digitalocean LLC (SG)
146.235.16.65:15174, 4683 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
138.2.69.100:10002, 4920 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
103.180.161.69:587, 4639 ms, Singapore, undefined none (none)
185.126.80.215:25565, 4780 ms, Singapore, 🇸🇬 AKILE LTD (SG)
52.77.19.190:443, 4599 ms, Singapore, 🇸🇬 Amazon.com Inc. (SG)
47.236.181.185:8443, 4834 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
138.2.95.33:17465, 4748 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
8.222.129.175:58808, 4682 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
15.235.187.177:587, 4745 ms, Singapore, 🇸🇬 OVH SAS (SG)
8.219.163.164:36261, 4616 ms, Singapore, undefined none (none)
138.2.109.23:587, 5049 ms, Kampong Loyang, 🇸🇬 Oracle Corporation (SG)
8.219.237.57:31523, 4694 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
139.162.33.248:587, 4595 ms, Singapore, 🇸🇬 Akamai Technologies Inc. (SG)
47.236.157.249:587, 5010 ms, Singapore, undefined none (none)
103.40.11.26:587, 5219 ms, Singapore, 🇸🇬 Hong Kong Megalayer Technology Co.limited (SG)
54.251.167.101:443, 5221 ms, Singapore, 🇸🇬 Amazon.com Inc. (SG)
119.81.201.154:9089, 4677 ms, Singapore, 🇸🇬 Softlayer Technologies Inc. (SG)
8.219.254.209:41101, 5201 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
45.77.171.102:3128, 4999 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
47.236.195.221:443, 5876 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
64.176.84.144:81, 4861 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
8.222.159.112:30667, 5598 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
43.245.198.240:587, 6393 ms, Singapore, 🇸🇬 Techavenue International LTD (SG)
139.180.215.77:57878, 4018 ms, Singapore, 🇸🇬 The Constant Company LLC (SG)
47.236.97.101:53314, 4646 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
47.236.119.190:51342, 4677 ms, Singapore, 🇸🇬 Alibaba us Technology Co. Ltd. (SG)
